Дата,Код,Валюта,Средний,Макс,Мин,Замеров
2026-05-07,AED,Дирхам ОАЭ,20.0000,20.0000,20.0000,4
2026-05-07,AMD,Армянских драмов,20.0000,20.0000,20.0000,4
2026-05-07,AUD,Австралийский доллар,54.0000,54.0000,54.0000,4
2026-05-07,AZN,Азербайджанский манат,44.0000,44.0000,44.0000,4
2026-05-07,BDT,Так,61.0000,61.0000,61.0000,4
2026-05-07,BHD,Бахрейнский динар,198.0000,198.0000,198.0000,4
2026-05-07,BOB,Боливиано,11.0000,11.0000,11.0000,4
2026-05-07,BRL,Бразильский реал,15.0000,15.0000,15.0000,4
2026-05-07,BYN,Белорусский рубль,26.0000,26.0000,26.0000,4
2026-05-07,CAD,Канадский доллар,55.0000,55.0000,55.0000,4
2026-05-07,CHF,Швейцарский франк,96.0000,96.0000,96.0000,4
2026-05-07,CNY,Юань,11.0000,11.0000,11.0000,4
2026-05-07,CUP,Кубинских песо,31.0000,31.0000,31.0000,4
2026-05-07,CZK,Чешских крон,36.0000,36.0000,36.0000,4
2026-05-07,DKK,Датская крона,12.0000,12.0000,12.0000,4
2026-05-07,DZD,Алжирских динаров,56.0000,56.0000,56.0000,4
2026-05-07,EGP,Египетских фунтов,14.0000,14.0000,14.0000,4
2026-05-07,ETB,Эфиопских быров,47.0000,47.0000,47.0000,4
2026-05-07,EUR,Евро,88.0000,88.0000,88.0000,4
2026-05-07,GBP,Фунт стерлингов,102.0000,102.0000,102.0000,4
2026-05-07,GEL,Лари,28.0000,28.0000,28.0000,4
2026-05-07,HKD,Гонконгских долларов,95.0000,95.0000,95.0000,4
2026-05-07,HUF,Форинтов,25.0000,25.0000,25.0000,4
2026-05-07,IDR,Рупий,43.0000,43.0000,43.0000,4
2026-05-07,INR,Индийских рупий,79.0000,79.0000,79.0000,4
2026-05-07,IRR,Иранских риалов,51.0000,51.0000,51.0000,4
2026-05-07,JPY,Иен,48.0000,48.0000,48.0000,4
2026-05-07,KGS,Сомов,85.0000,85.0000,85.0000,4
2026-05-07,KRW,Вон,51.0000,51.0000,51.0000,4
2026-05-07,KZT,Тенге,16.0000,16.0000,16.0000,4
2026-05-07,MDL,Молдавских леев,44.0000,44.0000,44.0000,4
2026-05-07,MMK,Кьятов,36.0000,36.0000,36.0000,4
2026-05-07,MNT,Тугриков,21.0000,21.0000,21.0000,4
2026-05-07,NGN,Найр,55.0000,55.0000,55.0000,4
2026-05-07,NOK,Норвежских крон,81.0000,81.0000,81.0000,4
2026-05-07,NZD,Новозеландский доллар,45.0000,45.0000,45.0000,4
2026-05-07,OMR,Оманский риал,194.0000,194.0000,194.0000,4
2026-05-07,PLN,Злотый,21.0000,21.0000,21.0000,4
2026-05-07,QAR,Катарский риал,21.0000,21.0000,21.0000,4
2026-05-07,RON,Румынский лей,17.0000,17.0000,17.0000,4
2026-05-07,RSD,Сербских динаров,75.0000,75.0000,75.0000,4
2026-05-07,SAR,Саудовский риял,20.0000,20.0000,20.0000,4
2026-05-07,SEK,Шведских крон,81.0000,81.0000,81.0000,4
2026-05-07,SGD,Сингапурский доллар,59.0000,59.0000,59.0000,4
2026-05-07,THB,Батов,23.0000,23.0000,23.0000,4
2026-05-07,TJS,Сомони,80.0000,80.0000,80.0000,4
2026-05-07,TMT,Новый туркменский манат,21.0000,21.0000,21.0000,4
2026-05-07,TRY,Турецких лир,17.0000,17.0000,17.0000,4
2026-05-07,UAH,Гривен,17.0000,17.0000,17.0000,4
2026-05-07,USD,Доллар США,75.0000,75.0000,75.0000,4
2026-05-07,UZS,Узбекских сумов,62.0000,62.0000,62.0000,4
2026-05-07,VND,Донгов,30.0000,30.0000,30.0000,4
2026-05-07,XDR,СДР (специальные права заимствования),103.0000,103.0000,103.0000,4
2026-05-07,ZAR,Рэндов,46.0000,46.0000,46.0000,4
